FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,DECSLON,DECSLAT,DEPTH,Distance
1587,1631,7/1/2011,0.43681713,29.26513756000,-92.67482749000,508,-92.79900000000,29.25300000000,10.30000000000,0.12476431
1588,1632,7/1/2011,0.436828704,29.26920806000,-92.67261074000,508,-92.79900000000,29.25300000000,10.30000000000,0.12742428
158,663,6/28/2011,0.370300926,29.20812038000,-92.42605029000,509,-92.53100000000,29.20500000000,9.70000000000,0.10499609
651,664,6/28/2011,0.370821759,29.18936667000,-92.44615000000,509,-92.53100000000,29.20500000000,9.70000000000,0.08627818
652,665,6/28/2011,0.371840278,29.14626496000,-92.46893725000,509,-92.53100000000,29.20500000000,9.70000000000,0.08544934
1290,1318,6/30/2011,0.443055556,29.16840000000,-92.40690000000,509,-92.53100000000,29.20500000000,9.70000000000,0.12938458
1291,1319,6/30/2011,0.444479167,29.22556667000,-92.44050000000,509,-92.53100000000,29.20500000000,9.70000000000,0.09280753
1292,1320,6/30/2011,0.444502315,29.22114153000,-92.44532596000,509,-92.53100000000,29.20500000000,9.70000000000,0.08718136
1293,1321,6/30/2011,0.445138889,29.20940867000,-92.45773957000,509,-92.53100000000,29.20500000000,9.70000000000,0.07339296
1294,1326,6/30/2011,0.44587963,29.17771667000,-92.49416667000,509,-92.53100000000,29.20500000000,9.70000000000,0.04583748
1295,1327,6/30/2011,0.446539352,29.16711667000,-92.50476667000,509,-92.53100000000,29.20500000000,9.70000000000,0.04607965
1611,1659,7/1/2011,0.455601852,29.23663304000,-92.40384898000,509,-92.53100000000,29.20500000000,9.70000000000,0.13102683
1612,1660,7/1/2011,0.455601852,29.23488353000,-92.39772569000,509,-92.53100000000,29.20500000000,9.70000000000,0.13658355
1613,1661,7/1/2011,0.455601852,29.22090022000,-92.34878410000,509,-92.53100000000,29.20500000000,9.70000000000,0.18290831
1614,1662,7/1/2011,0.455601852,29.22090022000,-92.34878410000,509,-92.53100000000,29.20500000000,9.70000000000,0.18290831
1615,1663,7/1/2011,0.455601852,29.24743314000,-92.44724098000,509,-92.53100000000,29.20500000000,9.70000000000,0.09389433
1616,1664,7/1/2011,0.456273148,29.21776239000,-92.42056870000,509,-92.53100000000,29.20500000000,9.70000000000,0.11116632
1617,1665,7/1/2011,0.457650463,29.16955000000,-92.45466667000,509,-92.53100000000,29.20500000000,9.70000000000,0.08416341
1281,1309,6/30/2011,0.434027778,29.01521667000,-92.37540000000,510,-92.45200000000,29.00100000000,13.60000000000,0.07790811
1286,1314,6/30/2011,0.438252315,29.01418333000,-92.37005000000,510,-92.45200000000,29.00100000000,13.60000000000,0.08300363
640,649,6/28/2011,0.350833333,29.17093061000,-92.31916018000,511,-92.45900000000,29.03500000000,12.90000000000,0.19501873
641,650,6/28/2011,0.351076389,29.18294136000,-92.32841878000,511,-92.45900000000,29.03500000000,12.90000000000,0.19732740
1284,1312,6/30/2011,0.436840278,29.05913333000,-92.38608333000,511,-92.45900000000,29.03500000000,12.90000000000,0.07680663
1287,1315,6/30/2011,0.439594907,29.04913333000,-92.38133333000,511,-92.45900000000,29.03500000000,12.90000000000,0.07894215
1288,1316,6/30/2011,0.440972222,29.10679014000,-92.39269929000,511,-92.45900000000,29.03500000000,12.90000000000,0.09772210
1289,1317,6/30/2011,0.441030093,29.12875000000,-92.40121667000,511,-92.45900000000,29.03500000000,12.90000000000,0.11012709
1618,1666,7/1/2011,0.459039352,29.10943333000,-92.47871667000,511,-92.45900000000,29.03500000000,12.90000000000,0.07700044
1619,1667,7/1/2011,0.459050926,29.10061320000,-92.47980896000,511,-92.45900000000,29.03500000000,12.90000000000,0.06883389
1620,1668,7/1/2011,0.45974537,29.07535965000,-92.49367450000,511,-92.45900000000,29.03500000000,12.90000000000,0.05320923
1621,1669,7/1/2011,0.460428241,29.04848788000,-92.50385899000,511,-92.45900000000,29.03500000000,12.90000000000,0.04684284
638,647,6/28/2011,0.348159722,29.03886667000,-92.33838333000,512,-92.31100000000,28.95200000000,13.90000000000,0.09108054
1264,1292,6/30/2011,0.426446759,28.87667631000,-92.25303081000,512,-92.31100000000,28.95200000000,13.90000000000,0.09504781
1267,1295,6/30/2011,0.42712963,28.84715189000,-92.27026360000,512,-92.31100000000,28.95200000000,13.90000000000,0.11248369
1268,1296,6/30/2011,0.427789352,28.83501657000,-92.28091127000,512,-92.31100000000,28.95200000000,13.90000000000,0.12079095
1270,1298,6/30/2011,0.429189815,28.81945000000,-92.32648333000,512,-92.31100000000,28.95200000000,13.90000000000,0.13345125
1271,1299,6/30/2011,0.429201389,28.82122067000,-92.32785352000,512,-92.31100000000,28.95200000000,13.90000000000,0.13186081
1272,1300,6/30/2011,0.429201389,28.82268240000,-92.32814593000,512,-92.31100000000,28.95200000000,13.90000000000,0.13044932
1273,1301,6/30/2011,0.429212963,28.82868054000,-92.32979918000,512,-92.31100000000,28.95200000000,13.90000000000,0.12474413
1274,1302,6/30/2011,0.429918981,28.86502528000,-92.33934133000,512,-92.31100000000,28.95200000000,13.90000000000,0.09147586
1276,1304,6/30/2011,0.431261574,28.90270000000,-92.34881667000,512,-92.31100000000,28.95200000000,13.90000000000,0.06213365
1277,1305,6/30/2011,0.431944444,28.92533175000,-92.35245683000,512,-92.31100000000,28.95200000000,13.90000000000,0.04929365
1278,1306,6/30/2011,0.431944444,28.92428213000,-92.35999499000,512,-92.31100000000,28.95200000000,13.90000000000,0.05629200
1279,1307,6/30/2011,0.431967593,28.93554328000,-92.35464066000,512,-92.31100000000,28.95200000000,13.90000000000,0.04664044
1280,1308,6/30/2011,0.432650463,28.96076121000,-92.36494675000,512,-92.31100000000,28.95200000000,13.90000000000,0.05465355
1282,1310,6/30/2011,0.434027778,29.02272351000,-92.35603886000,512,-92.31100000000,28.95200000000,13.90000000000,0.08384697
1283,1311,6/30/2011,0.436122685,29.05286230000,-92.34009016000,512,-92.31100000000,28.95200000000,13.90000000000,0.10497353
1285,1313,6/30/2011,0.43755787,29.04195000000,-92.35200000000,512,-92.31100000000,28.95200000000,13.90000000000,0.09885344
1690,1738,7/1/2011,0.493796296,28.88099180000,-92.33663502000,512,-92.31100000000,28.95200000000,13.90000000000,0.07549383
1691,1739,7/1/2011,0.494444444,28.89446314000,-92.34312845000,512,-92.31100000000,28.95200000000,13.90000000000,0.06589937
1692,1740,7/1/2011,0.494490741,28.91603452000,-92.33674452000,512,-92.31100000000,28.95200000000,13.90000000000,0.04423004
1693,1741,7/1/2011,0.495138889,28.92548348000,-92.33346986000,512,-92.31100000000,28.95200000000,13.90000000000,0.03475659
1694,1742,7/1/2011,0.495138889,28.92560062000,-92.32916766000,512,-92.31100000000,28.95200000000,13.90000000000,0.03204670
1695,1743,7/1/2011,0.495196759,28.95195000000,-92.32455000000,512,-92.31100000000,28.95200000000,13.90000000000,0.01355009
1696,1744,7/1/2011,0.495844907,28.96310530000,-92.32309069000,512,-92.31100000000,28.95200000000,13.90000000000,0.01641684
1697,1745,7/1/2011,0.496550926,28.99565693000,-92.31415132000,512,-92.31100000000,28.95200000000,13.90000000000,0.04377052
1698,1746,7/1/2011,0.496585648,29.00918452000,-92.30996118000,512,-92.31100000000,28.95200000000,13.90000000000,0.05719395
1699,1747,7/1/2011,0.497222222,29.01748593000,-92.30818079000,512,-92.31100000000,28.95200000000,13.90000000000,0.06554659
1700,1748,7/1/2011,0.497916667,29.04601281000,-92.29938932000,512,-92.31100000000,28.95200000000,13.90000000000,0.09472706
1701,1749,7/1/2011,0.497928241,29.05085785000,-92.29738665000,512,-92.31100000000,28.95200000000,13.90000000000,0.09979077
1702,1750,7/1/2011,0.497939815,29.05727241000,-92.29117562000,512,-92.31100000000,28.95200000000,13.90000000000,0.10712276
1254,1283,6/30/2011,0.4215625,29.00168333000,-92.04275000000,513,-92.04400000000,29.00100000000,10.70000000000,0.00142458
