Rowid,AS_LOCATIONS2011,X,Y,SST_4KM_A2011175,SST_4KM_A2011176,SST_4KM_A2011177,SST_4KM_A2011178,SST_4KM_A2011179,SST_4KM_A2011180,SST_4KM_A2011181,SST_4KM_A2011182
780,7995464,-91.09711798,28.96388333,0,43569,43792,0,44507,45675,48621,46725
781,7995464,-89.77991667,28.96373333,0,0,45991,45059,45396,45744,48471,48455
782,7995464,-93.84382077,28.96371995,40578,42819,41643,42932,42766,44386,44756,43810
783,7995464,-92.32309069,28.9631053,0,43864,0,43565,42948,44950,45886,47446
784,7995464,-91.24726667,28.96265,0,44054,44030,0,44552,45612,48886,47948
785,7995464,-93.83758333,28.9623,40578,42819,41643,42932,42766,44386,44756,43810
786,7995464,-90.50448333,28.96211667,0,44040,44215,44794,45358,0,0,46882
787,7995464,-91.80755,28.96205,0,43808,42876,0,43372,44739,46168,47229
788,7995464,-92.74054634,28.9609752,0,43537,0,43420,43159,44484,45364,46023
789,7995464,-92.92627251,28.96082004,42053,43762,0,43849,43427,45088,45508,46280
790,7995464,-92.36494675,28.96076121,0,43864,0,43565,42948,44950,45886,47446
791,7995464,-90.413,28.96048333,0,0,44447,44800,44545,44942,48272,46311
792,7995464,-90.50080827,28.9599006,0,44040,44215,44794,45358,0,0,46882
793,7995464,-93.85439904,28.95955309,40578,42819,41643,42932,42766,44386,44756,43810
794,7995464,-93.86374123,28.95837505,40578,42819,41643,42932,42766,44386,44756,43810
795,7995464,-90.15993881,28.95771332,0,0,45419,44466,44919,44170,49039,47030
796,7995464,-90.17046667,28.95603333,0,44126,45002,44922,44565,44287,48985,46307
797,7995464,-91.31211834,28.95547266,0,43758,43634,43465,43912,44133,48463,47878
798,7995464,-91.61970257,28.95512216,0,43607,42884,43920,44052,44999,46118,47570
799,7995464,-92.94353539,28.95453527,0,43560,0,43777,42892,44721,45690,46435
800,7995464,-89.60796667,28.95438333,0,43853,45513,45341,45259,45349,0,48579
801,7995464,-93.8587,28.95431667,40766,42781,41893,42545,42627,44196,44770,44095
802,7995464,-93.85146667,28.95418333,40766,42781,41893,42545,42627,44196,44770,44095
803,7995464,-88.79999628,28.95406139,0,0,45580,45896,43708,0,47526,0
804,7995464,-90.42580449,28.95344237,0,0,43810,44554,44745,45358,0,46054
805,7995464,-93.84798333,28.95293333,40766,42781,41893,42545,42627,44196,44770,44095
806,7995464,-89.96613333,28.95271667,0,44190,46100,45947,45545,47269,48976,48047
807,7995464,-92.32455,28.95195,0,44047,41928,43122,43403,44778,46076,47472
808,7995464,-92.71576757,28.95148558,0,43636,0,43423,43162,43789,45033,46030
809,7995464,-90.42878215,28.9510664,0,0,43810,44554,44745,45358,0,46054
810,7995464,-90.17109636,28.94969554,0,44126,45002,44922,44565,44287,48985,46307
811,7995464,-90.87614235,28.94949226,0,44161,44235,44428,43878,0,48650,47918
812,7995464,-92.9416311,28.94931667,0,43560,0,43777,42892,44721,45690,46435
813,7995464,-92.95909903,28.94930076,0,43560,0,43777,42892,44721,45690,46435
814,7995464,-90.65111667,28.94911667,0,44225,44089,45328,45425,44907,49171,47941
815,7995464,-88.8351,28.94863333,0,0,45655,45889,0,45785,0,0
816,7995464,-91.6214139,28.94836826,0,43607,42884,43920,44052,44999,46118,47570
817,7995464,-90.5205345,28.94788319,0,43998,43787,44512,45408,46006,0,47126
818,7995464,-90.43558585,28.94731612,0,0,43810,44554,44745,45358,0,46054
819,7995464,-93.41312418,28.94676667,0,43569,42203,43495,42653,44120,45451,45095
820,7995464,-92.0202,28.94661667,0,43602,0,43988,43799,45273,45385,47177
821,7995464,-92.93406535,28.946,0,43560,0,43777,42892,44721,45690,46435
822,7995464,-89.7507,28.94586667,0,0,45828,45169,44467,45619,48335,48194
823,7995464,-91.35965,28.94536667,0,43496,43807,43366,44175,42968,0,47677
824,7995464,-92.54630138,28.94451422,0,43833,0,43129,43654,45008,45979,46148
825,7995464,-92.76691667,28.9441,0,43405,0,43528,43226,43436,45249,46298
826,7995464,-93.85172525,28.94150474,40766,42781,41893,42545,42627,44196,44770,44095
827,7995464,-92.95890282,28.9415,0,43560,0,43777,42892,44721,45690,46435
828,7995464,-91.43512336,28.94137467,0,42930,43423,43735,43941,0,47502,47885
829,7995464,-90.15279776,28.94076188,0,0,45419,44466,44919,44170,49039,47030
830,7995464,-89.95125599,28.94062069,0,44190,46100,45947,45545,47269,48976,48047
831,7995464,-90.44150967,28.94040376,0,0,43810,44554,44745,45358,0,46054
832,7995464,-89.93402066,28.93907104,0,44190,46100,45947,45545,47269,48976,48047
833,7995464,-89.89056667,28.93775,0,44157,46011,46500,45729,47480,0,48252
834,7995464,-91.39258333,28.93748333,0,43225,43893,43690,44247,0,0,47842
835,7995464,-92.72881151,28.93716961,0,43636,0,43423,43162,43789,45033,46030
836,7995464,-91.81649257,28.93704124,0,43442,42778,43665,43833,45393,46006,47163
837,7995464,-89.73115588,28.93644935,0,0,45909,45115,44839,0,0,48964
838,7995464,-92.35464066,28.93554328,0,43891,41719,43448,43112,44665,46078,47432
839,7995464,-91.12016947,28.93494067,0,43503,43632,44156,44228,44979,47962,47266
840,7995464,-89.63793949,28.93484516,0,43853,45513,45341,45259,45349,0,48579
